_ID,_VALUE,ThemeType:string,ThemeIcon:string,EntranceMap:string,EntranceLayer:string,Title:loc,Title2:loc,Descript:loc,Entrance:int[],Layer:int[],AutoPortalEventLayer:string[],LayerDispay:int[],SpecialLayerName:loc[],DifficultyChart:int[],IsSave:bool[],Map:id[],Map2:id[],UsedEnter:int,OpenLayer:int[],OpenTime:int[],ConditionParam:string[],#Remark:string,Main:int,OpenStatus:int,Reward1:id[],RewardNum1:int[],Reward2:id[],RewardNum2:int[],Reward3:id[],RewardNum3:int[],Reward4:id[],RewardNum4:int[],UsedReward1:id[],UsedRewardNum1:int[],UsedReward2:id[],UsedRewardNum2:int[],UsedReward3:id[],UsedRewardNum3:int[],UsedReward4:id[],UsedRewardNum4:int[]
,,,,,,,,,,28,46#1#3,8,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_028,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,29,46#1#4,9,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_029,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,30,46#1#5,10,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_030,,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,40,ITEM_EXCLUSIVE_AMETHYST,900,ITEM_CRYSTAL,150,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,31,47#1#1,11,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_031,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,32,47#1#2,12,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_032,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,33,47#1#3,13,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_033,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,34,47#1#4,14,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_034,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,35,47#1#5,15,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_035,,,,,,,,,ITEM_SPAR_SUPER_BOX_TICKET,15,ITEM_EXCLUSIVE_AMETHYST,1000,ITEM_CRYSTAL,200,ITEM_GOLD,10000000,None,0,None,0,None,0,None,0
,,,,,,,,,,36,48#1#1,16,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_036,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,37,48#1#2,17,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_037,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,38,48#1#3,18,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_038,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,39,48#1#4,19,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_039,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,40,0#0,20,None,2,FALSE,DUNGEON_MAP_LAVAFIEID_040,,,,,,,,,ITEM_MONSTER_SPLINTER_ALL_4,60,ITEM_EXCLUSIVE_AMETHYST,1500,ITEM_CRYSTAL,400,ITEM_GOLD,50000000,None,0,None,0,None,0,None,0
,,,,,,,,,,41,0#0,1,LOC_DUNGEON_EVENT_NAME_EXPLORE_ACTIVATION_6,-1,TRUE,DUNGEON_MAP_LAVAFIEID_040,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,42,0#0,2,LOC_DUNGEON_EVENT_NAME_EXPLORE_ACTIVATION_6,-1,TRUE,DUNGEON_MAP_LAVAFIEID_040,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,43,0#0,3,LOC_DUNGEON_EVENT_NAME_EXPLORE_ACTIVATION_6,-1,TRUE,DUNGEON_MAP_LAVAFIEID_040,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,44,0#0,4,LOC_DUNGEON_EVENT_NAME_EXPLORE_ACTIVATION_6,-1,TRUE,DUNGEON_MAP_LAVAFIEID_040,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,45,0#0,5,LOC_DUNGEON_EVENT_NAME_EXPLORE_ACTIVATION_6,-1,TRUE,DUNGEON_MAP_LAVAFIEID_040,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,46,0#0,6,LOC_DUNGEON_EVENT_NAME_EXPLORE_ACTIVATION_6,-1,TRUE,DUNGEON_MAP_LAVAFIEID_040,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,47,0#0,7,LOC_DUNGEON_EVENT_NAME_EXPLORE_ACTIVATION_6,-1,TRUE,DUNGEON_MAP_LAVAFIEID_040,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
,,,,,,,,,,48,0#0,8,LOC_DUNGEON_EVENT_NAME_EXPLORE_ACTIVATION_6,-1,TRUE,DUNGEON_MAP_LAVAFIEID_040,,,,,,,,,None,0,None,0,None,0,None,0,None,0,None,0,None,0,None,0
